item_no,title,sentence1,sentence2,question,left_anchor,right_anchor,seed_no
1,Department Performance,"A survey was conducted to investigate the performance of x departments, with a sample size of y employees from each department.","The graph shows, for each department, how many employees received a pay rise for outstanding performance.",How well did the departments perform at this company? ,Very poor,Very good,1
2,Fitness Program,"A survey was conducted to investigate the efficacy of x fitness apps, with a sample size of y people who used each app.","The graph shows, for each fitness app, the number of people that were still following the fitness program after 6 months.",How effective was the app at getting people to continue their fitness program?,Very ineffective,Very effective,2
3,Plant Fertiliser,"A survey was conducted to investigate the efficacy of x plant fertilisers, with a sample size of y seeds which received each fertiliser.","The graph shows, for each fertiliser, the number of seeds which sprouted. ",How impactful were the plant fertilisers?,Very unimpactful,Very impactful,3
4,Video Game Issues,"A survey was conducted to investigate errors in x video games, with a sample size of y gamers who played each game. ","The graph shows, for each video game, the number of gamers who found errors.",How frequently were issues found in these games?,Very infrequently,Very many issues,4
5,Board Games,"A survey was conducted to investigate the enjoyability of x board games, with a sample size of y people who played each game.","The graph shows, for each board game, the number of people who played the game regularly.",How enjoyable did people find the board games?,Very unenjoyable,Very enjoyable,5
6,Yoga Classes,"A survey was conducted to investigate the effectiveness of x yoga classes, with a sample size of y people who attended each class.","The graph shows, for each yoga class, the number of people who felt more flexible after the class.",How effective were the yoga classes at improving flexibility?,Very ineffective,Very effective,6
7,Ski Jackets,"A survey was conducted to investigate customer experiences of x different ski jackets, with a sample size of y skiers who tested each ski jacket.","The graph shows, for each ski jacket, the number of people who gave the coats positive feedback.",How satisfied were the skiers with the ski jackets?,Very unsatisfied,Very satisfied,7
8,Train Punctuality,"A survey was conducted to investigate the punctuality of x train companies, with  a sample size of y trains run by each company.","The graph shows, for each train company, the number of trains which arrived on time.",How punctual were the trains?,Very unpunctual,Very punctual,8
9,Package Delivery,"A survey was conducted to investigate the performance of x delivery companies, with a sample size of y packages delivered by each company.","The graph shows, for each delivery company, the number of packages that were delivered safely. ",How careful were the delivery companies at delivering packages?,Very careless,Very careful,9
10,Allergy Medications,"A survey was conducted to investigate the efficacy of x allergy medications, with a sample size of y people who trialed each medication.","The graph shows, for each allergy medication, the number of people whose allergies subsided. ",How effective were the allergy medications?,Very ineffective,Very effective,10
11,Smoking Cessation,"A survey was conducted to investigate the effectiveness of x smoking cessation courses, with a sample size of y smokers enrolled in each course.","The graph shows, for each smoking cessation course, the number of people that hadn't relapsed after six months.",How effective were the courses at preventing smoking relapse after 6 months?,Very ineffective ,Very effective,11
12,Physical Rehabilitation,"A survey was conducted to investigate the efficacy of x physical rehabilitation courses, with a sample size of y injured athletes enrolled in each course.","The graph shows, for each physical rehabilitation course, how many athletes fully recovered after completing the course.",How effective were the physical rehabilitation courses?,Very ineffective ,Very effective,12
13,Public Transport,"A survey was conducted to investigate public transport popularity in x towns, with a sample size of y people from each town.","The graph shows, for each town, how many people took public transport regularly. ",How popular was public transport in these towns?,Very unpopular,Very popular,13
14,In-Flight Meals,"A survey was conducted to investigate in-flight meal popularity on x flights, with a sample size of y passengers who were each flight.","The graph shows, for each flight, how many passengers ordered in-flight meals.  ",How popular were in-flight meals?,Very unpopular,Very popular,14
15,Manufacturing Methods,"A survey was conducted to investigate x manufacuring methods, with a sample size of y items produced by each method.","The graph shows, for each manufacturing method, how many of the items were free from defects.",How successful were the manufacturing methods?,Very unsuccessful,Very successful,15
16,Alcohol Purchases,"A survey was conducted to investigate alcohol purchases in x supermarkets, with a sample size of y shoppers from each supermarket.","The graph shows, for each supermarket, the number of shoppers that bought alcohol. ",How common were alcohol purchases?,Very uncommon,Very common,16
17,Course Satisfaction,"A survey was conducted to investigate student satisfaction in x University courses, with a sample size of y students who attended each course.","The graph shows, for each University course, the number of students who gave their course positive feedback.",How satisfied were students with their courses?,Very unsatisfied,Very satisfied,17
18,Pension Schemes,"A survey was conducted to investigate pension scheme enrollment in x companies, with a sample size of y employees from each company.","The graph shows, for each company, how many of the employees opted in to the pension scheme.",How common was it to opt in to the pension scheme?,Very uncommon,Very common,18
19,Master's Degree,"A survey was conducted to investigate educational qualification in x companies, with a sample size of y employees from each company.","The graph shows, for each company, the number of employees that held a master's degree.",How common was it for employees to hold a master's degree?,Very uncommon,Very common,19
20,Insurance Policies,"A survey was conducted to investigate attitudes towards x insurance policies, with a sample size of y people enrolled in each policy.","The graph shows, for each insurance policy, the number of people that thought it was affordable.",How satisfied were people with the insurance policy prices?,Very unsatisfied,Very satisfied,20
21,Meat Consumption,"A survey was conducted to investigate perceptions of meat consumption in x different UK counties, with a sample size of y people from each county.","The graph shows, for each different county, the number of people who eat meat daily.",How common is daily meat consumption?,Very uncommon,Very common,21
22,Job Satisfaction,"A survey was conducted to investigate employee satisfaction at x different companies, with a sample size of y employees from each company.","The graph shows, for each company, the number of employees that were satisfied with their current roles. ",How satisfied with their jobs were employees at this media company?,Very unsatisfied,Very satisfied,22
23,TV Programs,"A survey was conducted to investigate opinions of x TV programs, with a sample size of y people who watched each program.","The graph shows, for each TV program, the number of people who enjoyed the program.",How enjoyable did people find the TV programs?,Very unenjoyable,Very enjoyable ,23
24,Study Apps,"A survey was conducted to investigate the efficacy of x exam study apps, with a sample size of y students who tested each app.","The graph shows, for each exam study app, the number of students that exceeded their target grades. ",How successful were the study apps?,Very unsuccessful ,Very successful,24
25,Dating Apps,"A survey was conducted to investigate the efficacy of x dating apps, with a sample size of y people who used each app.","The graph shows, for each dating app, the number of users that formed romantic relationships with other app users.",How successful were the dating apps?,Very unsuccessful,Very successful,25
26,Productivity Courses,"A survey was conducted to investigate the effectiveness of a productivity course utilised by x companies, with a sample size of y employees from each company. ","The graph shows, for each company, the number of employees whose productivity at work improved.",How effective was the productivity course?,Very ineffective,Very effective,26
27,Gym Classes,"A survey was conducted to investigate the effectiveness of x gym classes, with a sample size of y people who attended each class.","The graph shows, for each gym class, the number of people who noticed physical improvements.",How effective were the gym class at improving fitness?,Very ineffective,Very effective,27
28,Fizzy Drinks,"A survey was conducted to investigate opinions on x fizzy drinks, with a sample size of y people who tested each drink.","The graph shows, for each fizzy drink, the number of people who said they would buy the drink in a supermarket. ",How satisfied were people with the fizzy drinks?,Very unsatisfied,Very satisfied,28
29,Fast-Food Chains,"A survey was conducted to investigate food hygiene at x fast-food chains, with a sample size of y restaurants reviewed from each fast-food chain.","The graph shows, for each fast-food chain, the number of restaurants where no hygiene issues were identified.",How hygienic were the fast-food chains?,Very unhygienic,Very hygienic,29
30,Animal Health,"A survey was conducted to investigate agricultural hygiene of x farms, with a sample size of y animals from each farm.","The graph shows, for each farm, the number of animals that were free from disease.",How healthy were the animals?,Very unhealthy,Very healthy,30
31,Trainee Pilots,"A survey was conducted to investigate the aptitude of x trainee pilots, with y assessments taken by each trainee pilot.","The graph shows, for each trainee pilot, the number of assessments where they received a distinction grade. ",How competent were the trainee pilots?,Very incompetent,Very competent,31
32,Breeding Programs,"A survey was conducted to investigate the efficacy of x animal breeding programs, with a sample size of y animals from each breeding program.","The graph shows, for each breeding program, the number of animals that successfully produced offspring.",How effective were the breeding programs?,Very ineffective,Very effective,32
33,Job Stress,"A survey was conducted to investigate job stress at x companies, with a sample size of y employees from each company.","The graph shows, for each company, the number of employees who reported high workplace stress.",How stressful did employees find their jobs?,Very unstressful,Very stressful,33
34,Climbing Shoes,"A survey was conducted to investigate the efficacy of x climbing shoes, with a sample size of y climbers assessing each shoe.","The graph shows, for each different climbing shoe, the number of climbers who noticed improvements in their climbing.",How effective were the climbing shoes?,Very ineffective,Very ineffective,34
35,Festival Speakers,"A survey was conducted to investigate the performance of x festival speakers, with a sample size of y people testing each speaker.","The graph shows, for each festival speaker, the number of people who could hear the music at the back of the stage.",How effective were the festival speakers?,Very uneffective,Very effective,35
36,Suntan Lotion,"A survey was conducted to investigate the efficacy of x suntan lotions, with a sample size of y people reviewing each lotion.","The graph shows, for each suntan lotion, the number of people that didn't get sunburnt after spending a day in the sun. ",How effective were the suntan lotions?,Very uneffective,Very effective,36
37,Trainee Engineers,"A survey was conducted to investigate the aptitude of x trainee engineers, with y assessments taken by each trainee engineer.","The graph shows, for each trainee engineer, the number of assessments where they received a distinction grade.",How well did the trainee engineers perform?,Very poorly,Very well,37
38,Furniture Assembly,"A survey was conducted to investigate the feasibility of x ready-to-assemble furniture products, with a sample size of y people testing each furniture product. ","The graph shows, for each furniture product, the number of people who assembled it successfully.",How easy was it to assemble the furniture?,Very difficult,Very easy,38
39,Running Clubs,"A survey was conducted to investigate the effectiveness of x running clubs, with a sample size of y runners from each club.","The graph shows, for each running club, the number of runners who felt significantly faster after the class.",How effective were the running clubs at increasing running speed?,Very ineffective,Very effective,39
40,Computer Programmers,"A survey was conducted to investigate the aptitude of x novice computer programmers, with y assessments taken by each novice computer programmer. ","The graph shows, for each novice computer programmer, the number of assessments where they received a distinction grade.",How well did the novice computer programmers perform?,Very poorly,Very well,40